Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Lao PDR,LAO,52.295,57.529,61.498,62.025,62.533,63.019,63.483,63.929,64.357,64.772,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Latvia,LVA,64.2,64.9,65.8,67.2,68.3,68.8,68.6,68.9,69.3,69.7,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Lebanon,LBN,68.707,72.82,75.812,76.126,76.399,76.64,76.864,77.087,77.322,77.577,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Lesotho,LSO,57.975,46.742,44.711,45.529,46.398,47.24,47.99,48.636,49.17,49.584,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Liberia,LBR,45.12,51.754,56.339,57.251,57.992,58.553,58.958,59.279,59.576,59.871,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Libya,LBY,66.966,68.914,69.424,69.363,69.259,69.133,69.014,68.932,68.905,68.941,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Liechtenstein,LIE,..,73.9,79.1,80,79.5,79.5,79.5,79.7,80.7,80.7,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Lithuania,LTU,66.39,66.8,64.9,66.3,67.5,68,68.1,68.4,68.5,68.6,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Luxembourg,LUX,71.487,74.8,76.7,78.1,78.1,77.9,78.5,79.1,79.8,80.5,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Macao SAR, China",MAC,73.036,75.316,76.726,76.949,77.183,77.426,77.676,77.93,78.185,78.437,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Macedonia, FYR",MKD,69.233,70.83,72.041,72.202,72.357,72.508,72.655,72.802,72.949,73.098,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Madagascar,MDG,49.832,57.305,60.693,61.093,61.505,61.931,62.364,62.793,63.21,63.61,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Malawi,MWI,42.607,44.037,50.912,52.542,54.217,55.886,57.505,59.042,60.466,61.747,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Malaysia,MYS,68.977,70.879,71.669,71.749,71.835,71.929,72.037,72.156,72.288,72.43,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Maldives,MDV,61.819,69.168,74.248,74.661,74.965,75.18,75.338,75.476,75.627,75.806,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mali,MLI,46.573,49.194,54.519,55.241,55.871,56.412,56.882,57.315,57.743,58.177,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Malta,MLT,72.847,76.2,77.5,77.1,77.9,79.3,78.6,78.6,79.6,79.6,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Marshall Islands,MHL,..,62.8,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mauritania,MRT,57.091,58.453,59.609,59.907,60.22,60.533,60.832,61.107,61.351,61.56,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mauritius,MUS,65.6,68.2,69.2,69.2,69.38,69.46,69.74,70.4,70.7,70.97,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mexico,MEX,67.905,71.949,73.225,73.371,73.514,73.658,73.812,73.978,74.159,74.356,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,"Micronesia, Fed. Sts.",FSM,65.661,66.705,67.48,67.59,67.691,67.783,67.871,67.959,68.049,68.144,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Moldova,MDA,64.092,63.011,64.426,64.831,65.315,65.84,66.355,66.812,67.174,67.431,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mongolia,MNG,57.798,60.089,62.215,62.637,63.089,63.557,64.024,64.474,64.894,65.28,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Montenegro,MNE,71.298,70.464,71.726,72.103,72.501,72.897,73.264,73.588,73.858,74.069,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Morocco,MAR,63.12,66.982,70.043,70.528,71.017,71.494,71.943,72.351,72.711,73.02,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mozambique,MOZ,41.622,46.951,50.106,50.633,51.162,51.683,52.19,52.677,53.142,53.584,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Myanmar,MMR,56.501,60.058,62.121,62.392,62.666,62.937,63.197,63.439,63.658,63.852,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Namibia,NAM,58.783,53.149,56.153,57.467,58.677,59.712,60.544,61.207,61.739,62.148,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Nepal,NPL,53.584,61.272,65.269,65.74,66.194,66.631,67.052,67.456,67.842,68.212,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Netherlands,NLD,73.8,75.5,78,78.3,78.5,78.8,79.4,79.3,79.5,79.5,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,New Caledonia,NCL,67.9,71.7,71.8,72.7,73.6,74.4,73.8,74,74.2,74.5,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,New Zealand,NZL,72.5,76.1,78.2,78.4,78.8,78.8,79.1,79.4,79.7,79.6,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Nicaragua,NIC,61.275,66.981,69.598,69.935,70.266,70.591,70.913,71.231,71.545,71.856,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Niger,NER,43.699,50.736,55.376,56.149,56.966,57.799,58.607,59.354,60.014,60.578,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Nigeria,NGA,45.081,46.084,49.514,50.075,50.591,51.05,51.45,51.805,52.128,52.425,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Norway,NOR,73.43,76,78.2,78.3,78.6,78.9,79.1,79.5,79.8,79.8,..,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Oman,OMN,65.397,70.36,73.028,73.354,73.666,73.965,74.253,74.532,74.803,75.069,..,..
